id,rooms,area,rent,norm_rent,latitude,longitude
5238109,2,62,11200,180.65,55.676449,12.436417
5211318,5,112,16100,143.75,55.616521,12.566203
5262440,3,85,14000,164.71,55.660255,12.512381
5239335,4,95,17000,178.95,55.634942,12.579119
5235747,2,107,18500,172.9,55.678756,12.590644
5237520,3,92,15245,165.71,55.65243,12.545442
5252875,3,71,11950,168.31,55.711095,12.47929
5239376,2,60,11900,198.33,55.637755,12.580868
4856505,2,111,16409,147.83,55.684835,12.501109
5244091,2,130,18500,142.31,55.683833,12.587061
5242859,3,93,15200,163.44,55.682748,12.455784
5239348,3,77,13300,172.73,55.638001,12.581605
5158632,4,165,35000,212.12,55.679257,12.589305
5015671,1,43,10000,232.56,55.616521,12.566203
5239400,2,67,11900,177.61,55.637843,12.580475
5175913,3,125,22000,176.0,55.672345,12.552277
5111296,2,73,11775,161.3,55.61985,12.574296
4956109,2,64,10450,163.28,55.617418,12.566349
5243717,2,76,12450,163.82,55.682748,12.455784
5025930,4,120,16575,138.12,55.63393,12.597071
5239923,4,113,17000,150.44,55.638001,12.581605
5251669,3,123,17500,142.28,55.658423,12.51391
5239403,2,61,11700,191.8,55.637897,12.580714
5079059,4,142,24850,175.0,55.68439,12.571234
5239393,3,95,14400,151.58,55.637664,12.580775
5239404,2,60,12200,203.33,55.637997,12.580752
5072939,3,108,18750,173.61,55.676448,12.569685
5240218,2,79,13400,169.62,55.638175,12.581597
2694681,2,69,12500,181.16,55.711711,12.563395
5239435,2,60,12200,203.33,55.634942,12.579119
5239363,2,59,11800,200.0,55.637921,12.581371
5112337,3,98,17300,176.53,55.679568,12.574248
5176356,3,69,14000,202.9,55.663553,12.591
5251681,1,93,14500,155.91,55.620262,12.571017
5240226,4,118,16700,141.53,55.638175,12.581597
5239378,2,52,11800,226.92,55.637921,12.581371
5238584,3,87,13100,150.57,55.682748,12.455784
4962750,5,114,15900,139.47,55.619459,12.572437
4968631,5,211,29935,141.87,55.73531,12.574357
5248612,1,38,6900,181.58,55.703754,12.537448
5242843,3,97,13600,140.21,55.682748,12.455784
5252895,2,68,11900,175.0,55.637897,12.580714
5238459,1,35,8250,235.71,55.688441,12.491476
5239341,4,140,17900,127.86,55.638175,12.581597
5211178,2,59,12100,205.08,55.640331,12.582975
5079407,3,95,16950,178.42,55.651292,12.542151
5238106,2,65,11150,171.54,55.676449,12.436417
5177865,1,51,8250,161.76,55.649554,12.551497
5242838,3,90,13200,146.67,55.682748,12.455784
5239398,4,105,16700,159.05,55.637843,12.580475
5242842,3,97,13900,143.3,55.682748,12.455784
5190916,2,91,13484,148.18,55.649051,12.535273
5121217,3,110,17500,159.09,55.697898,12.493852
5258835,4,97,13300,137.11,55.727318,12.474743
5248614,1,37,6900,186.49,55.703754,12.537448
5252180,2,60,11950,199.17,55.635287,12.578356
5243013,2,63,13400,212.7,55.618372,12.573111
5157939,3,90,14200,157.78,55.653873,12.503641
5189148,4,118,15495,131.31,55.676193,12.471977
5185817,1,44,9454,214.86,55.679425,12.551437
5227237,3,134,23500,175.37,55.680604,12.534308
